OBJECTID,X,Y,STORE_ADDRESS,CDC_STORE_LEVEL,CATEGORY,ZIP
115,-75.11578353458458,39.99685909865769,767 East Allegheny Ave,2.0,Basic,19134
116,-75.1816882159726,39.98744055251393,2952 Ridge Ave,2.0,Basic,19121
117,-75.11151262294865,39.99746860365421,3257 Kensington Ave,3.0,Enhanced,19134
118,-75.0557455652981,40.06219942564781,8011 Castor Ave,3.0,Enhanced,19152
119,-75.1714226243902,39.93211308917447,1500 S 16Th St,1.0,Basic,19146
120,-75.16336955237519,40.04453835710027,5616 Chew Ave,3.0,Enhanced,19138
121,-75.17748523384532,39.98119101849857,2604 Cecil B Moore Ave,2.0,Basic,19121
122,-75.22693202245142,39.95046191957311,600 S 52nd St,2.0,Certification,19143
123,-75.23887671825699,39.964873639033605,5934 Race St,3.0,Enhanced,19139
124,-75.22231304012483,39.94800762300764,4922 Baltimore Ave,3.0,Enhanced,19143
125,-75.21396819300057,39.94593329169663,4700 Chester Ave,1.0,Basic,19143
126,-75.09943134137306,40.00733717961461,1443 E Luzerne St,2.0,Basic,19124
127,-75.0651556623505,40.05064061844417,2028 Cottman Ave,2.0,Basic,19149
128,-75.18005961446248,39.941806826992924,2243 Christian Street,3.0,Enhanced,19146
129,-75.13755836319272,39.99344205780263,323 W Somerset St,3.0,Enhanced,19133
130,-75.15488655659112,39.930796492778214,1414 S 6th St,1.0,Basic,19147
131,-75.20205593162845,39.96046412617317,401 N 40th St,2.0,Basic,19104
132,-75.16650713014455,39.976452959660094,1445 North 19th St,3.0,Enhanced,19121
133,-75.10862117804453,39.997019171212116,3339 Jasper St,3.0,Enhanced,19134
134,-75.1578273996447,40.052065653903725,6402 Wister St,2.0,Basic,19138
135,-75.15014948823884,40.0217474133233,4501 N 15Th St,1.0,Basic,19140
136,-75.15342217380429,40.04362335030496,1956 Nedro Avenue,2.0,Basic,19141
137,-75.11135775692544,39.99936304244851,942 E Ontario St,1.0,Basic,19134
138,-75.21038845885695,40.01991298279153,5255 Ridge Ave,3.0,Enhanced,19128
139,-75.1822298097782,39.98043463709684,2901 W Oxford St,3.0,Enhanced,19121
140,-75.22942345365475,39.984520031469295,1801 Georges Ln,2.0,Basic,19131
141,-75.2472448669427,39.97058851822344,6400 W Girard Ave,3.0,Enhanced,19151
142,-75.14271094336884,40.02703700495125,1116-18 Rockland St,2.0,Basic,19141
143,-75.16985169775795,40.02850620355353,147 W Hansberry St,1.0,Basic,19144
144,-75.22457851717475,39.956896295731774,5153 Walnut St,2.0,Certification,19139
145,-75.16579550373585,39.92468495593423,2015 S 12th St,3.0,Enhanced,19148
146,-75.13700275095074,39.993364950762256,301 West Somerset St.,3.0,Enhanced,19133
147,-75.15538752421209,40.005137913692714,3401 N 16th St,3.0,Certification,19140
148,-75.0318916921955,40.03178617666829,7417 Torresdale Ave,3.0,Enhanced,19136
149,-75.22051607691142,39.96711743531494,850 N 50th St,1.0,Basic,19139
150,-75.11997385259716,39.99282796036425,2907 Kensington Ave,3.0,Enhanced,19134
151,-75.23783959556238,39.987925665974394,5731 Malvern Ave,2.0,Basic,19131
152,-75.1573447780183,39.927018710346964,1724 South 7Th St 1st Fl,1.0,Basic,19148
153,-75.18219234094606,39.92886973329705,1838 S 22nd St,1.0,Basic,19145
154,-75.17883397063328,39.927181708371336,1941 S 20th St,1.0,Basic,19145
155,-75.17551615907814,39.927639253441626,1901 S 18Th St,2.0,Basic,19145
156,-75.16009378244348,39.99154282643185,2500 N 17th St,2.0,Basic,19132
157,-75.1284217508039,39.972695006820686,543 E Thompson St,3.0,Certification,19125
158,-75.12702338948688,40.04383603785264,400 W Spencer St,3.0,Enhanced,19120
159,-75.08163599513496,40.012754381398786,1801 Orthodox St,3.0,Enhanced,19124
160,-75.05083662457581,40.02800467885514,6663 Walker St.,3.0,Enhanced,19135
161,-75.06404442735736,40.015146723105225,5537 Torresdale Ave,1.0,Basic,19124
162,-75.0470625757837,40.024761972133454,4620 Unruh Ave,3.0,Enhanced,19135
163,-75.15775103057715,39.93974815203892,800 S 9th St,3.0,Enhanced,19147
164,-75.16390754740445,39.98837945901874,2267 North 19th St.,3.0,Enhanced,19132
165,-75.16706400918991,39.997681520949314,2831 N 22nd St,2.0,Basic,19132
166,-75.21400833885093,39.949013549928345,4523 Baltimore Ave,2.0,Basic,19143
167,-75.17373768773906,39.99020275020131,2300 N 25th St,3.0,Enhanced,19132
168,-75.12804630251826,39.995278199963906,3000 A St,2.0,Basic,19134
169,-75.10805709178062,39.99732077433423,3359 Jasper St.,2.0,Basic,19134
170,-75.22744155264027,39.95418585479229,5266 Delancey St,3.0,Enhanced,19143
171,-75.16906494313068,39.98097706996953,1753 N 21St St,1.0,Basic,19121
172,-75.23056513125901,39.92426066018007,6401 Grays Ave,1.0,Basic,19142
173,-75.11376283451531,39.98536465868887,2333 East Cambria St,3.0,Enhanced,19134
174,-75.16147860978691,40.00439569436615,1943 W Westmoreland St,3.0,Enhanced,19140
175,-75.12785709002722,40.02986426101057,235 W Duncannon Ave,3.0,Enhanced,19120
176,-75.1184059219207,40.03036587097126,5302 Rising Sun Ave,2.0,Basic,19120
177,-75.12356483215768,40.021429749539315,140 E Wyoming Ave,3.0,Enhanced,19120
178,-75.11544630247391,39.990600640282175,2975 Frankford Avenue,3.0,Enhanced,19134
179,-75.23876503959099,39.94881763796193,5736 Christian St,3.0,Enhanced,19143
180,-75.23970002206315,39.94740614179908,901 S 58th St,3.0,Enhanced,19143
181,-75.15202123747521,40.009333465747794,1414 W Erie Ave,1.0,Basic,19140
182,-75.10558937661818,39.98775988160444,2413 E Allegheny Ave,2.0,Basic,19134
183,-75.14841729381557,39.991317657965205,2562 Germantown Ave,3.0,Enhanced,19133
184,-75.14988878137774,40.02324389856842,1501 W Courtland St,2.0,Basic,19140
185,-75.18050688795067,39.936121993247674,1267 S 22Nd St,2.0,Basic,19146
186,-75.1407995230927,40.02841682431063,1025 W Ruscomb St,3.0,Enhanced,19141
187,-75.1781254237148,39.93048819512394,1701 S 20th St,2.0,Basic,19145
188,-75.23219510718161,39.92703777731389,6316 Woodland Ave,3.0,Enhanced,19142
189,-75.0713894027374,40.05431496093604,1701 Cottman Ave,2.0,Basic,19111
190,-75.1562975492131,39.986477691258564,2208 N Broad St,3.0,Certification,19132
191,-75.11661741219744,39.99523960768513,3099 Potter St,1.0,Basic,19134
192,-75.24239439343884,39.978767737683725,6101 W Jefferson St,1.0,Basic,19151
